mãs;n.nota;data_emissã£o;razã£o_social;valor;cfop;base_s.t.;valor_s.t.;basede_icms;vlproduto(s);status;situaã§ã£o
MÃS;N. Nota;Data EmissÃ£o;RazÃ£o Social;Valor;CFOP;Base S.T.;Valor S.T.;Base de ICMS;VL Produto(s);Status;SituaÃ§Ã£o
OUT;211045;13/11/2024;METALURGICA MOR S.A- FILIAL PERNAMBUCO;1.797,89;6102;0;0;1.688,16;1.688,16;Compras;
OUT;676361;13/11/2024;CORTAG INDUSTRIA E COMERCIO LTDA;31.189,55;6101 , 6102;0;0;30.216,09;30.216,09;Concluida;
OUT;676525;13/11/2024;CORTAG INDUSTRIA E COMERCIO LTDA;1.776,87;6101;0;0;1.304,76;1.776,87;Concluida;
OUT;1710122;13/11/2024;FORTLEV INDUS.E COMERC. DE PLASTICO;13.973,88;5101;0;0;13.973,88;13.973,88;Concluida;
OUT;150921;13/11/2024;EUROPA COMERCIAL LTDA;6.274,52;6102;0;0;6.274,52;6.274,52;Concluida;
OUT;725385;13/11/2024;FERRAGENS NEGRAO COM LTDA - BA;1.654,37;5102;0;0;97020;1.649,42;â;
OUT;163017;13/11/2024;INTELBRAS S/A - IND DE TEL ELET BRASILEI;2.075,48;6102;0;0;2.075,48;2.075,48;Concluida;
OUT;1823833;14/11/2024;INCOPISOS IND. E COMERCIO PISOS LTDA.;2800;6911;0;0;000;2800;Compras;AMOSTRA
OUT;1823834;14/11/2024;INCOPISOS IND. E COMERCIO PISOS LTDA.;7.120,84;6101;0;0;7.074,86;7.074,86;Compras;
OUT;1823835;14/11/2024;INCOPISOS IND. E COMERCIO PISOS LTDA.;13.537,43;6101;0;0;13.450,00;13.450,00;Compras;
OUT;333743;14/11/2024;VOTORANTIM CIMENTOS NNE SA;38.784,00;5101;0;0;38.784,00;38.784,00;Concluida;
OUT;2255011;14/11/2024;Mexichem Brasil IndÃºstria de TransformaÃ§Ã£o PlÃ¡stica Ltda;1.766,87;6101;0;0;1.723,20;1.723,20;Concluida;
